trial,local_time,timestamp_payload_generated,node_id,name,description,qr_id,unique_id,tx_ok,txhash,txhash_ms,display_ms,total_ms,broadcast_ms_node,height,code,gasWanted,gasUsed,timestamp_chain,sender,contract,network,value_len,subprocess_returncode,error_type,error,stderr
1,2026-04-25 17:17:28,2026-04-25 17:16:35,node-s-3in7g,yama log e-paper,yama log QRe-paper,b0a5789bddf44c0f935a6a7ba6b6debd,165df4a8b62d33d376ec1c704bf5f7fa9268033c0cde297def1a7e9d08f6ad5a,True,75491E04E2349BDB341655E35A4F65CC644CF25643142718765C830A05ADE2B7,24073.342,28614.485,52687.828,4030.736,122985319,0,1200000,167153,2026-04-25T08:16:58Z,inj1dnts5u5h5y9qnsfw060r0hy80jkkdmp75kz55t,inj1zrg7tv5phxmu8unjhhhnzvtus30dpluaqkeln5,testnet,221,0,,,
2,2026-04-25 17:21:33,2026-04-25 17:20:42,node-s-3in7g,yama log e-paper,yama log QRe-paper,87a4ad5bcb30401aa2791afec64c4fd8,e606c90cfeedc6cd22e84f0ecb4aeabc28d6b9910979ffe0c77d9c8bb107a8ce,True,F6484478436B2C1103087BA0241D6A314C84EBFA4414DCA6437BEBC7D8F5DDB7,22197.984,28598.648,50796.632,3725.865,122985716,0,1200000,167153,2026-04-25T08:21:03Z,inj1dnts5u5h5y9qnsfw060r0hy80jkkdmp75kz55t,inj1zrg7tv5phxmu8unjhhhnzvtus30dpluaqkeln5,testnet,221,0,,,
1,2026-04-25 17:37:58,2026-04-25 17:37:06,node-s-3in7g,yama log e-paper,yama log QRe-paper,ebe6e42f6cfa465694c46dec210b9e1b,7064fd72ce06a24426b5181ab3bc24b808b8d9a0cfbc8b1939710600f443881f,True,9B32284ABF1D9DB5EB7348E843ACA3940A0E57A4A324AF2AAB628495DBE93228,23904.558,28569.574,52474.132,3898.601,122987308,0,1200000,167153,2026-04-25T08:37:28Z,inj1dnts5u5h5y9qnsfw060r0hy80jkkdmp75kz55t,inj1zrg7tv5phxmu8unjhhhnzvtus30dpluaqkeln5,testnet,221,0,,,
2,2026-04-25 17:42:03,2026-04-25 17:41:13,node-s-3in7g,yama log e-paper,yama log QRe-paper,d758b5e0d99c4c6a91dbec1ca4282fe9,8d4511e9b7041855957f3be2acb730a5ccbf6da1705bae9f2124d8d4ddd6ed5a,True,B569390A4D84496B82F882ABBF1D831717CA08D88FF72567673399B44A25C113,22084.799,28578.9,50663.7,3609.369,122987707,0,1200000,167153,2026-04-25T08:41:33Z,inj1dnts5u5h5y9qnsfw060r0hy80jkkdmp75kz55t,inj1zrg7tv5phxmu8unjhhhnzvtus30dpluaqkeln5,testnet,221,0,,,
3,2026-04-25 17:46:08,2026-04-25 17:45:18,node-s-3in7g,yama log e-paper,yama log QRe-paper,34b1e6b7468e453abf57b7a77d98637c,c23926be36ef28be3f68b4440a6ee24091815af0311d6fe5586bdb203be7a8b1,True,A06505FD6FC11394398A5D687EB8FB80788EA1D7CB4CA0B8473C2A690CFDBF3C,22111.053,28548.427,50659.48,3691.079,122988104,0,1200000,167153,2026-04-25T08:45:38Z,inj1dnts5u5h5y9qnsfw060r0hy80jkkdmp75kz55t,inj1zrg7tv5phxmu8unjhhhnzvtus30dpluaqkeln5,testnet,221,0,,,
4,2026-04-25 17:50:15,2026-04-25 17:49:22,node-s-3in7g,yama log e-paper,yama log QRe-paper,2cc006e5f7814121b587944d7dbbf046,2b3ac424aa566e2295d6a5b87c006fa4f177dbec07f163e4574e249d918edee0,True,67281F6A253A10F4B4D5368F895CBD997AAA78924AF76D0607CE2D06F636B29A,23668.542,28594.201,52262.743,4981.21,122988500,0,1200000,167153,2026-04-25T08:49:44Z,inj1dnts5u5h5y9qnsfw060r0hy80jkkdmp75kz55t,inj1zrg7tv5phxmu8unjhhhnzvtus30dpluaqkeln5,testnet,221,0,,,
5,2026-04-25 17:54:20,2026-04-25 17:53:29,node-s-3in7g,yama log e-paper,yama log QRe-paper,e12dc92b8fde401faadfbb4b3250c19a,e590daac940914d8d3a48b99768af68119648d466db29d060ad8282d03b3616c,True,8D1847898DEC3B2C242EB8BF3737D555B462E22ED47D3731C2B87446AA2B07DF,22612.893,28588.862,51201.755,4228.706,122988896,0,1200000,167153,2026-04-25T08:53:50Z,inj1dnts5u5h5y9qnsfw060r0hy80jkkdmp75kz55t,inj1zrg7tv5phxmu8unjhhhnzvtus30dpluaqkeln5,testnet,221,0,,,
1,2026-04-25 18:02:19,2026-04-25 18:01:26,node-s-3in7g,yama log e-paper,yama log QRe-paper,25bf0021b1bd48b0b59c6b124616804c,485fbf6130941109443b2b4b9b8e4dc371960f94da45c4d34751c5c7d338554b,True,CB871AF4D73A884412BCC91E02736CDADE2F4B86CB2D7CE46A02720BE7D19660,23883.654,28585.585,52469.239,3916.047,122989669,0,1200000,167153,2026-04-25T09:01:48Z,inj1dnts5u5h5y9qnsfw060r0hy80jkkdmp75kz55t,inj1zrg7tv5phxmu8unjhhhnzvtus30dpluaqkeln5,testnet,221,0,,,
1,2026-04-25 18:07:42,2026-04-25 18:06:49,node-s-3in7g,yama log e-paper,yama log QRe-paper,81cb5c50395e4c2aa8a9929de14a6f88,249a9b6e8b21cdda2cd3da7ed7abc3fe7479a2f237a9fe75c3a1c9d5783d8cce,True,B50BAB6427A5A7434AE193716CF901F5CD5FEC6FB8D8925A76A2BC39B01DA4A2,24232.228,28585.739,52817.967,4147.459,122990193,0,1200000,167153,2026-04-25T09:07:12Z,inj1dnts5u5h5y9qnsfw060r0hy80jkkdmp75kz55t,inj1zrg7tv5phxmu8unjhhhnzvtus30dpluaqkeln5,testnet,221,0,,,
2,2026-04-25 18:11:47,2026-04-25 18:10:56,node-s-3in7g,yama log e-paper,yama log QRe-paper,071c304d2c954c47801f2e7c7959e146,5e47d7eb4ff3f1c9514f2b0c74b81acc18098c2fc78e4e9ca0c3b66947e70270,True,1190045E2DBC59FA2FA48FBB647E9ED459EC02C537AA45C9665C38595F922427,22128.617,28554.15,50682.768,3680.289,122990590,0,1200000,167153,2026-04-25T09:11:17Z,inj1dnts5u5h5y9qnsfw060r0hy80jkkdmp75kz55t,inj1zrg7tv5phxmu8unjhhhnzvtus30dpluaqkeln5,testnet,221,0,,,
